user_id,x,y,cluster_id
253457f30450,6.202807,6.8851137,2
2554be1b599e,9.564746,7.527075,3
25c717fcfcf0,7.9004717,11.16327,0
25d1576e420f,9.998131,9.192396,3
25e0bb818fe7,4.958159,7.334643,2
25f72e684000,10.305708,11.948778,3
26749af13e1e,10.364353,11.443065,3
267d167f5c8d,12.395876,9.807868,1
26c37c7c3dcf,9.03413,10.023171,3
2757dc3ce28d,7.9379225,9.764662,0
276a55f67a77,6.3578653,10.676517,0
285ad64669e0,11.200829,10.102018,1
2920d7482649,9.675693,7.659647,3
2984a7622736,9.779936,9.550579,3
29d93a2f169e,6.0395527,9.396871,0
2ad1d2577df4,6.844452,7.589497,0
2b0c382722d0,9.9841,9.75902,3
2b4cbbc49e4e,7.119353,7.9543624,0
2b4f1562fa44,11.597965,9.339299,1
2b53dd383709,11.465338,10.694926,1
2ba620c8e1c2,9.200358,9.147644,2
2bcaf3d1f7f2,8.925323,8.75248,2
2bcfaa3df52b,8.894074,9.740421,3
2bda216ee06e,7.3807373,10.644631,0
2be96f37218b,8.79729,8.55975,3
2c894b94435f,9.577111,9.721125,3
2d0b3adde136,4.874868,7.6556387,2
2d411cc2c22a,9.969255,8.67651,3
2dc38572ac12,9.097954,10.108727,3
2e9e4eccd47e,9.270841,8.562536,2
2eebe3247bca,7.0869403,7.618381,0
2ef4b05fa3e4,9.34093,12.50078,3
2f99c95f0057,6.907267,10.992881,0
2fdebb60b258,9.251424,10.732073,1
3087b37015be,7.3859563,8.972574,0
309d5f4bdad6,9.067643,8.814645,2
30d8ffd038d6,9.815047,9.044373,0
313570b55d25,9.292023,11.298861,3
315b46fd8fac,9.551314,12.333891,3
3169e6a20c8b,5.5639515,7.738123,0
324389fa1463,7.8791704,11.138427,0
326a35419541,8.209255,11.085335,0
329758511943,9.880154,11.525155,3
32be206e53e4,9.180979,11.734857,3
32fdecd17449,4.7078867,7.6906834,0
33ccadbfd77c,9.218281,7.1269703,3
33d15dadcc97,10.859562,9.90472,1
33d504e8d4d9,6.860168,6.9633265,2
3405af2b0ae0,9.345124,9.867927,3
342ad1d06b28,9.377416,12.700374,3
342f5cb9f227,9.92441,9.199684,3
355e39b91f6d,9.80989,8.51276,3
35e3c97de485,10.19815,10.108564,3
360b473dd1ec,6.7274947,8.67924,0
3619dce82ba5,5.7377725,9.489025,0
36574b853fbc,8.779984,12.16008,3
37f1ae5951bc,10.565273,10.984075,3
382c0027e143,5.918715,8.095856,2
38b67f491e68,11.292329,10.111492,1
38be3f3419e5,12.010612,9.854346,1
38ca49bafc59,8.38852,10.053219,3
3935544d11dc,5.854148,10.28548,0
3aa53a743056,12.293002,9.87331,1
3b182d800abd,9.32919,7.133042,0
3b6613f603ac,8.901638,8.41135,3
3b7c53152a59,7.8236227,11.316697,3
3b8d0cd08fe2,9.6267605,10.255051,3
3c69a8dc1d56,6.393959,7.8002315,2
3d3b0981d2f7,6.737261,7.051845,2
3d7cb134f996,6.0060086,6.8522468,2
3db4f09bf26e,11.098753,9.387899,1
3dbebe73d557,8.628298,10.252505,0
3e50d7b566a3,7.599196,7.648586,2
3e6779b22da8,5.215825,8.502245,0
3e95e47dd7ec,8.168839,10.80074,0
3ef43e2b6b24,11.072637,10.045769,1
3fc23677ed59,10.140037,8.807597,3
406b3e9a1228,7.380185,10.08394,0
40796bc37a12,11.799007,9.520533,1
40909d385fd7,12.270754,9.858326,1
40ac2feac7f3,4.6043496,7.671566,2
40cbebbd504b,9.4981575,7.358358,3
40d6861d8bae,10.175386,8.742898,3
40f4d7ee7e94,7.092336,8.366796,0
41662a74fa3e,6.29148,9.310908,0
41b6ee9f59df,6.922167,6.5226407,2
42070e3f07d1,6.1451907,9.331272,0
431801bc2248,10.067046,8.854812,3
434494785677,9.715657,10.244672,3
43f2bfa84b23,6.771981,10.733311,0
44c34c6efe6f,8.373876,6.855314,2
45126221f02e,9.408449,9.007656,3
453801c9089a,11.042487,9.67604,1
4544c32a7977,10.920899,10.73233,1
456815a6abe9,5.712879,9.839939,0
456b1a830844,5.006011,8.220161,2
459d7e890352,10.086572,10.627651,3
46030f16eeeb,9.530287,9.908191,3
460d24f18102,6.658607,9.698292,0
469b37d5ff1e,10.939777,10.097522,1
46da40226356,9.348512,10.362961,3
46f5acd38250,9.251571,10.988109,3
47898d03e9ec,6.026542,9.236165,0
4799299fa12d,6.6208134,6.641973,2
481568c9e082,7.546529,7.6140423,2
48499511f77b,7.757022,11.3287325,0
4865387f4d2b,5.7290154,7.685988,2
487f19ff25af,6.1740484,8.252692,0
4973666d1861,9.798134,12.310084,3
49fa6cf2fedc,5.8280206,7.767884,2
4a686437f274,12.293536,9.949617,1
4a9224ec0d8e,8.992486,10.963961,3
4af69dad3bf1,9.778556,11.268887,3
4b8af1d9e6e6,5.7664948,9.975709,0
4c27be02ace9,9.673138,11.954796,3
4c2c2ccab7ef,10.454358,10.480484,1
4c5d5996085f,6.9509845,10.624147,0
4c7490179e9b,7.1144648,9.06569,0
4d0d805f41f7,5.974228,10.672158,0
4d1089abd65a,5.7261925,8.524558,2
4d24b1824f22,12.172314,9.794281,1
4d5aec64e21d,10.73256,10.999179,3
4d9fdd15a627,11.144678,10.018282,1
4dbeb691b609,6.448573,7.58453,0
4dc5923f9d21,9.543008,11.849643,3
